HoleID,Depth (feet),Elevation (feet),q_c (tsf),f_s (tsf),U_2 (ft-head),B_q,q_t (tsf),U_0 (ft-head),R_f (%),F_r,Q_t,Ic,Q_tn,Icn,Zone_Icn,SBT_Icn,Zone_LCPC,Q_s (Tons),Q_b (Tons),Q_ult (Tons)
CPT-01,-0.0656168,9.9343832,1.25312734,0.0,0.0,0.0,1.25312734,0.0,0.1,0.1,436.21798223,1.0,22.70318947,2.12533026,5,Sand_Mixtures,4,0.00753436,0.5358438,0.54337816
CPT-01,-0.1312336,9.8687664,2.88219287,0.0,-0.01672811,-0.00018152,2.88219287,0.0,0.1,0.1,501.80067956,1.0,36.93427274,1.91524785,6,Sands_Clean_Sands,4,0.02486339,1.23244074,1.25730413
CPT-01,-0.19685039,9.80314961,3.07016197,0.0,-0.05018434,-0.00051164,3.07016197,0.0,0.1,0.1,356.06135215,1.0,32.09732008,1.97581752,6,Sands_Clean_Sands,4,0.04332258,1.31281731,1.35613989
CPT-01,-0.26246719,9.73753281,4.16664839,0.0,0.04683872,0.00035182,4.16694079,0.0,0.1,0.1,362.46295211,1.0,37.72914191,1.90606198,6,Sands_Clean_Sands,4,0.06837609,1.78180567,1.85018176
CPT-01,-0.32808399,9.67191601,8.31241133,0.0,-0.0434931,-0.0001636,8.31241133,0.0,0.1,0.1,579.04252309,1.0,67.3874107,1.65609893,6,Sands_Clean_Sands,4,0.11835402,3.55443054,3.67278456
CPT-01,-0.39370079,9.60629921,14.00369798,0.0,-0.06022121,-0.00013439,14.00369798,0.0,0.1,0.1,813.31849189,1.0,103.68587115,1.47082682,6,Sands_Clean_Sands,4,0.20255051,5.98805447,6.19060498
CPT-01,-0.45931759,9.54068241,31.07755793,0.0,-0.01003687,-1.009e-05,31.07755793,0.0,0.1,0.1,1000.0,1.0,212.13778593,1.1643549,7,Gravelly_sand_Dense_Sand,4,0.38940268,13.28892625,13.67832893
CPT-01,-0.52493438,9.47506562,36.53910457,0.0,-0.11040556,-9.437e-05,36.53910457,0.0,0.1,0.1,1000.0,1.0,232.22407747,1.12579785,7,Gravelly_sand_Dense_Sand,4,0.60909211,15.62431214,16.23340425
CPT-01,-0.59055118,9.40944882,44.26672314,0.0,-0.17397239,-0.00012274,44.26672314,0.0,0.1,0.1,1000.0,1.0,263.99643758,1.07123602,7,Gravelly_sand_Dense_Sand,4,0.87524344,18.92868224,19.80392568
CPT-01,-0.65616798,9.34383202,59.13716753,0.0,-0.17731801,-9.364e-05,59.13716753,0.0,0.1,0.1,1000.0,1.0,332.83257957,1.0,7,Gravelly_sand_Dense_Sand,5,1.11228282,25.28736201,26.39964483
