JobNo,Job_Description,HoleID,LocationID,Area,pre drilled (feet),Total Depth (feet),Tip elevation (feet),Water_Table (feet),LCPC_ID,Comments,Notes,P1_dia (inch),X_Easting (feet),Y_Northing (feet),Elevation (feet),Z_Elevation (feet),Latitude (deg),Longitude (deg),File Name,DataFileID,rawU_0
"994-402","1640 - Margaritaville, Orange Beach, AL","CPT-13","CPT-13","",0,64.43569554,-54.43569554,6,2.65,"CPT-13","LCPC-DWP-01",14,1927420.617,108424.5618,10,10,30.2980733,-87.6301693,"994-402_1_cpt.mat","51538c31727fc933327bb906242aa009","Hidden"
"994-402","1640 - Margaritaville, Orange Beach, AL","CPT-12","CPT-12","",0,69.09448819,-59.09448819,6,2.65,"CPT-12","LCPC-DWP-01",14,1927454.347,108491.3549,10,10,30.298257,-87.6300627,"994-402_2_cpt.mat","b7d8fd3215e82213dbbe5ca8e2f3d02a","Hidden"
"994-402","1640 - Margaritaville, Orange Beach, AL","CPT-11","CPT-11","",0,76.50918635,-66.50918635,6,2.65,"CPT-11","LCPC-DWP-01",14,1927389.276,108571.9607,10,10,30.2984785,-87.6302692,"994-402_3_cpt.mat","c9c11b2f9047d8ae71606c6b8db073c7","Hidden"
"994-402","1640 - Margaritaville, Orange Beach, AL","CPT-10","CPT-10","",0,64.56692913,-54.56692913,6,2.65,"CPT-10","LCPC-DWP-01",14,1927454.387,108652.6101,10,10,30.2987004,-87.6300631,"994-402_4_cpt.mat","1125825e538e235cd5a4f6944096b529","Hidden"
"994-402","1640 - Margaritaville, Orange Beach, AL","CPT-09","CPT-09","",0,76.50918635,-66.50918635,6,2.65,"CPT-09","LCPC-DWP-01",14,1927391.264,108738.0614,10,10,30.25989352,-87.6302635,"994-402_5_cpt.mat","70bd56275d73783970b722f1bba8e8ad","Hidden"
"994-402","1640 - Margaritaville, Orange Beach, AL","CPT-08","CPT-08","",0,76.37795276,-66.37795276,6,2.65,"CPT-08","LCPC-DWP-01",14,1927459.17,108795.1835,10,10,30.2990925,-87.6300485,"994-402_6_cpt.mat","ab35a8491ea33f3fa17a3aea3ba04436","Hidden"
"994-402","1640 - Margaritaville, Orange Beach, AL","CPT-05","CPT-05","",0,68.04461942,-58.04461942,6,2.65,"CPT-05","LCPC-DWP-01",14,1927429.576,108871.3931,10,10,30.2993019,-87.6301426,"994-402_7_cpt.mat","437f58774c5d0949fd76017eb75547fd","Hidden"
"994-402","1640 - Margaritaville, Orange Beach, AL","CPT-01","CPT-01","",0,66.92913386,-56.92913386,6,2.65,"CPT-01","LCPC-DWP-01",14,1927500.022,108950.5044,10,10,30.2995197,-87.6299196,"994-402_8_cpt.mat","7816a0096d2d4d1f2deb60c9d397f89d","Hidden"
"994-402","1640 - Margaritaville, Orange Beach, AL","CPT-06","CPT-06","",0,68.6351706,-58.6351706,6,2.65,"CPT-06","LCPC-DWP-01",14,1927561.367,108892.6321,10,10,30.2993607,-87.629725,"994-402_9_cpt.mat","4f3203fb3aa0c63ad11af83a12c8988e","Hidden"
"994-402","1640 - Margaritaville, Orange Beach, AL","CPT-02","CPT-02","",0,66.01049869,-56.01049869,6,2.65,"CPT-02","LCPC-DWP-01",14,1927638.755,108960.8968,10,10,30.2995487,-87.62948,"994-402_10_cpt.mat","78a8684a1acaf066ff4fceb6d6c3db5b","Hidden"
"994-402","1640 - Margaritaville, Orange Beach, AL","CPT-03","CPT-03","",0,64.69816273,-54.69816273,6,2.65,"CPT-03","LCPC-DWP-01",14,1927710.86,108923.3816,10,10,30.2994458,-87.6292514,"994-402_11_cpt.mat","16fcf95f7fefa3d27c4a4c06b301033d","Hidden"
"994-402","1640 - Margaritaville, Orange Beach, AL","CPT-07","CPT-07","",0,65.09186352,-55.09186352,6,2.65,"CPT-07","LCPC-DWP-01",14,1927809.287,108895.6544,10,10,30.2993698,-87.6289394,"994-402_12_cpt.mat","7625d9c4745af7a2594ae07083bf88f4","Hidden"
"994-402","1640 - Margaritaville, Orange Beach, AL","CPT-04","CPT-04","",0,62.66404199,-52.66404199,6,2.65,"CPT-04","LCPC-DWP-01",14,1927920.881,108958.3253,10,10,30.2995425,-87.628586,"994-402_13_cpt.mat","e5e6e7477ddf98aacd5758f5b9f6921a","Hidden"
