HoleID,Depth (feet),Elevation (feet),q_c (tsf),f_s (tsf),U_2 (ft-head),B_q,q_t (tsf),U_0 (ft-head),R_f (%),F_r,Q_t,Ic,Q_tn,Icn,Zone_Icn,SBT_Icn,Zone_LCPC,Q_s (Tons),Q_b (Tons),Q_ult (Tons)
"CPT-13",-0.0656168,9.9343832,6.65201761,0,0.02341936,0.00010994,6.65216381,0,0.1,0.1,1000,1,120.74298163,1.40546341,6,"Sands_Clean_Sands",4,0.03999578,2.84450002,2.8844958
"CPT-13",-0.1312336,9.8687664,16.15489991,0.03132818,0.03345623,6.466e-05,16.15510876,0,0.19392122,0.19399177,1000,1,204.82113617,1.26501237,7,"Gravelly_sand_Dense_Sand",4,0.13712752,6.90800897,7.04513648
"CPT-13",-0.19685039,9.80314961,25.89796494,0.03132818,-0.06022121,-7.261e-05,25.89796494,0,0.12096774,0.12100943,1000,1,266.45157717,1.08739718,7,"Gravelly_sand_Dense_Sand",4,0.29283766,11.0741052,11.36694286
"CPT-13",-0.26246719,9.73753281,32.38289891,0.03132818,-0.10705993,-0.00010323,32.38289891,0,0.1,0.1,1000,1,287.33890076,1.03525158,7,"Gravelly_sand_Dense_Sand",4,0.48753812,13.84709687,14.33463499
"CPT-13",-0.32808399,9.67191601,46.45969598,0.03132818,-0.18400926,-0.00012366,46.45969598,0,0.1,0.1,1000,1,366.43029987,1,7,"Gravelly_sand_Dense_Sand",4,0.76687458,19.86640889,20.63328347
"CPT-13",-0.39370079,9.60629921,59.29380844,0.05221364,-0.29106919,-0.00015327,59.29380844,0,0.1,0.1,1000,1,424.24828541,1,7,"Gravelly_sand_Dense_Sand",5,1.00454183,25.35434248,26.35888431
"CPT-13",-0.45931759,9.54068241,69.91406262,0.08354182,-0.2341936,-0.00010459,69.91406262,0,0.11949216,0.11952945,1000,1,460.07251156,1,7,"Gravelly_sand_Dense_Sand",5,1.28477823,29.89561869,31.18039691
"CPT-13",-0.52493438,9.47506562,84.75317882,0.10442728,-0.34125354,-0.00012572,84.75317882,0,0.12321341,0.12325011,1000,1,518.44423455,1,7,"Gravelly_sand_Dense_Sand",5,1.62449422,36.24090236,37.86539658
"CPT-13",-0.59055118,9.40944882,90.43402274,0.14619819,-0.46169596,-0.0001594,90.43402274,0,0.16166282,0.16171424,1000,1,518.2580996,1,7,"Gravelly_sand_Dense_Sand",5,1.98698073,38.67006092,40.65704165
"CPT-13",-0.65616798,9.34383202,92.56433921,0.1879691,-0.57879277,-0.00019524,92.56433921,0,0.20306859,0.20313956,1000,1,500.23592674,1,7,"Gravelly_sand_Dense_Sand",5,2.35800618,39.58099538,41.93900156
"CPT-13",-0.72178478,9.27821522,100.02044686,0.20885456,-0.47842408,-0.00014935,100.02044686,0,0.20881186,0.20888694,1000,1,512.66305166,1,7,"Gravelly_sand_Dense_Sand",5,2.75891794,42.76926599,45.52818393
"CPT-13",-0.78740157,9.21259843,106.62025083,0.1879691,-0.69588957,-0.0002038,106.62025083,0,0.17629775,0.17636315,1000,1,521.08273833,1,7,"Gravelly_sand_Dense_Sand",5,3.18628367,45.59137667,48.77766034
"CPT-13",-0.85301837,9.14698163,110.99575378,0.17752637,-0.79625826,-0.000224,110.99575378,0,0.15993979,0.16000194,1000,1,519.45172126,1,7,"Gravelly_sand_Dense_Sand",5,3.63118773,47.46236461,51.09355234
"CPT-13",-0.91863517,9.08136483,106.35918264,0.15664092,-0.38474664,-0.00011296,106.35918264,0,0.14727541,0.14734005,1000,1,478.44169424,1,7,"Gravelly_sand_Dense_Sand",5,4.05750703,45.47974254,49.53724957
"CPT-13",-0.98425197,9.01574803,112.67703295,0.33416729,-0.4817697,-0.00013352,112.67703295,0,0.2965709,0.2967036,1000,1,487.72542747,1.04429909,7,"Gravelly_sand_Dense_Sand",5,4.50915015,48.18128837,52.69043852
"CPT-13",-1.04986877,8.95013123,116.88545226,0.53257912,-0.50853468,-0.00013586,116.88545226,0,0.45564192,0.45585347,1000,1,487.66010755,1.17629695,7,"Gravelly_sand_Dense_Sand",5,4.97766187,49.98083047,54.95849234
"CPT-13",-1.11548556,8.88451444,119.08886782,0.64744912,-0.58548401,-0.00015353,119.08886782,0,0.54366889,0.54393444,1000,1.06487991,479.90582148,1.23909001,7,"Gravelly_sand_Dense_Sand",5,5.45500554,50.92302248,56.37802802
"CPT-13",-1.18110236,8.81889764,121.48025249,0.69966276,-0.67916145,-0.00017459,121.48025249,0,0.57594773,0.5762421,1000,1.08742178,473.83353728,1.26198911,7,"Gravelly_sand_Dense_Sand",5,5.94193459,51.94559107,57.88752566
"CPT-13",-1.24671916,8.75328084,125.55291633,0.71010549,-0.78956701,-0.00019639,125.55291633,0,0.56558263,0.56588001,1000,1.08032063,474.93234001,1.25523936,7,"Gravelly_sand_Dense_Sand",6,6.24330905,40.26531256,46.50862162
"CPT-13",-1.31233596,8.68766404,130.86826478,0.69966276,-0.85982509,-0.00020518,130.86826478,0,0.53463134,0.53491706,1000,1.05837006,480.94595062,1.23289881,7,"Gravelly_sand_Dense_Sand",6,6.54468352,41.96996565,48.51464917
"CPT-13",-1.37795276,8.62204724,139.92210978,0.65789185,-1.04383435,-0.00023298,139.92210978,0,0.47018434,0.47043251,1000,1.008688,500.40809654,1.17919145,7,"Gravelly_sand_Dense_Sand",6,6.84605799,44.87356925,51.71962723
"CPT-13",-1.44356955,8.55643045,146.11464737,0.59523548,-1.2412261,-0.00026529,146.11464737,0,0.40737564,0.40759241,1000,1,509.29747142,1.12760268,7,"Gravelly_sand_Dense_Sand",6,7.14743245,46.85954033,54.00697278
"CPT-13",-1.50918635,8.49081365,148.92374114,0.46992275,-1.19104176,-0.00024977,148.92374114,0,0.31554589,0.31571876,1000,1,506.72110001,1.05022453,7,"Gravelly_sand_Dense_Sand",6,7.44880692,47.76042772,55.20923464
"CPT-13",-1.57480315,8.42519685,152.56825315,0.35505275,-1.05387122,-0.00021573,152.56825315,0,0.23271732,0.23284752,1000,1,507.51149712,1,7,"Gravelly_sand_Dense_Sand",6,7.75018138,48.92923701,56.67941839
"CPT-13",-1.64041995,8.35958005,157.5076634,0.33416729,-0.8029495,-0.00015921,157.5076634,0,0.21215938,0.21227943,1000,1,512.76269676,1,7,"Gravelly_sand_Dense_Sand",6,8.05155585,50.51332524,58.56488109
