HoleID,Depth (feet),Elevation (feet),q_c (tsf),f_s (tsf),U_2 (ft-head),B_q,q_t (tsf),U_0 (ft-head),R_f (%),F_r,Q_t,Ic,Q_tn,Icn,Zone_Icn,SBT_Icn,Zone_LCPC,Q_s (Tons),Q_b (Tons),Q_ult (Tons)
"CPT-02",-0.0656168,9.9343832,0,0,-0.01672811,"",0,0,"","","","","","","","","","","",""
"CPT-02",-0.1312336,9.8687664,1.71260736,0.01044273,0.02341936,"0.00042751",1.71275356,0,"0.6097","0.61073","596.5823","1.2222","31.04943","2.219","5","Sand_Mixtures","4","0.01029784","0.732382","0.7426802"
"CPT-02",-0.19685039,9.80314961,5.72261483,0.01044273,-0.09702306,"-0.00052973",5.72261483,0,"0.18248","0.18266","997.3144","1","73.4058","1.675","6","Sands_Clean_Sands","4","0.04470476","2.44702","2.491725"
"CPT-02",-0.26246719,9.73753281,14.43184982,0.03132818,0.02007374,"4.3441e-05",14.43197513,0,"0.21707","0.21721","1000","1","150.0488","1.4085","6","Sands_Clean_Sands","4","0.1314762","6.17119","6.302664"
"CPT-02",-0.32808399,9.67191601,18.99532187,0.03132818,-0.01003687,"-1.6503e-05",18.99532187,0,"0.16493","0.16503","1000","1","170.2209","1.314","6","Sands_Clean_Sands","4","0.2456846","8.1225","8.368184"
"CPT-02",-0.39370079,9.60629921,24.63439488,0.04177091,-0.17397239,"-0.00022057",24.63439488,0,"0.16956","0.16967","1000","1","196.297","1.26","7","Gravelly_sand_Dense_Sand","4","0.3937976","10.5338","10.92759"
"CPT-02",-0.45931759,9.54068241,28.80104327,0.06265637,-0.34125354,"-0.00037007",28.80104327,0,"0.21755","0.21769","1000","1","208.0534","1.2798","7","Gravelly_sand_Dense_Sand","4","0.5669623","12.3155","12.88244"
"CPT-02",-0.52493438,9.47506562,34.48188719,0.09398455,-0.408166,"-0.0003697",34.48188719,0,"0.27256","0.27273","1000","1","228.8923","1.2895","7","Gravelly_sand_Dense_Sand","4","0.7742829","14.7446","15.51892"
"CPT-02",-0.59055118,9.40944882,38.30392557,0.10442728,-0.54868216,"-0.0004474",38.30392557,0,"0.27263","0.2728","1000","1","236.358","1.2776","7","Gravelly_sand_Dense_Sand","4","1.004583","16.379","17.38354"
"CPT-02",-0.65616798,9.34383202,42.27216213,0.14619819,-0.53195404,"-0.00039305",42.27216213,0,"0.34585","0.34608","1000","1","244.361","1.3217","6","Sands_Clean_Sands","4","1.258742","18.0758","19.33454"
